,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0.012107265,0.009616773,0.010820152,0.010487435,0.008567162,0.010830514,0.008773142,0.008730707,0.0021441597,0.01098431,0.0022711998,0.0110162,0.0055718278,0.009231915,0.0067694774,0.009227904,0.010569522,0.0023070904,0.002981168,0.002875489,0.0036635548,0.010902391
1,0.011180462,0.009342528,0.009949685,0.0098856725,0.009540712,0.009605573,0.0025230015,0.011215097,0.007517977,0.007922513,0.00320023,0.010058889,0.010016188,0.002768008,0.009779664,0.0048782667,0.009873362,0.0028320756,0.008853087,0.0033437782,0.009517398,0.010099985
2,0.012061542,0.008075777,0.008928493,0.008527433,0.008526899,0.009546747,0.0032329482,0.0090549365,0.010408577,0.00280313,0.008659752,0.0028318255,0.0025290016,0.010761422,0.00944208,0.0020442978,0.0133990375,0.012938286,0.010570761,0.010573076,0.002846684,0.011308248
3,0.011803342,0.010095191,0.009389795,0.0022756194,0.0021286537,0.009617452,0.010954996,0.0025876865,0.010646493,0.0095162885,0.010500362,0.009857148,0.010432382,0.008177169,0.010481258,0.010394058,0.010055763,0.009916942,0.0025947054,0.011039669,0.0048488053,0.005632996
4,0.009948263,0.012575682,0.009150537,0.0077186543,0.008067122,0.009523128,0.009090848,0.010711778,0.004102388,0.0035377608,0.0034412465,0.0026261741,0.008397664,0.009430485,0.011156808,0.010091124,0.0108789755,0.010227731,0.009825742,0.004122082,0.0060395403,0.00832949
5,0.010499574,0.011349593,0.010483945,0.010843544,0.008571224,0.008693265,0.009125946,0.002718016,0.010343081,0.007905309,0.00997214,0.009631562,0.006060436,0.008562419,0.010448117,0.007220527,0.009977621,0.004245394,0.0025174848,0.002674625,0.0025203654,0.0024601864
6,0.008034381,0.009838447,0.011438226,0.008692704,0.01191208,0.011062088,0.010608559,0.011107729,0.00917512,0.008297203,0.009141049,0.0024620106,0.0053686663,0.009168903,0.009619022,0.02518582,0.011613752,0.011013959,0.011427744,0.010627342,0.0028450168,0.00221925
7,0.009853313,0.007641468,0.009776448,0.009095728,0.008324007,0.008685126,0.008708593,0.012684702,0.0021592814,0.008796398,0.011514294,0.0019288921,0.031369902,0.0106519535,0.010246218,0.009019456,0.010321148,0.009112409,0.009693143,0.010491357,0.009848535,0.0093234135
8,0.009227999,0.008576533,0.011000242,0.012142798,0.00827017,0.009475384,0.002645622,0.009216339,0.0115726255,0.011375643,0.00616089,0.008032761,0.011548807,0.0023327302,0.009812669,0.0025618304,0.008410921,0.0023130502,0.009147251,0.010455405,0.011407958,0.0051316177
9,0.011988129,0.008810394,0.0045115603,0.010163789,0.008820961,0.010367252,0.002812622,0.009328792,0.010563809,0.010760936,0.0050024875,0.008829376,0.0165132,0.022814315,0.009147274,0.0028672484,0.001967454,0.010198465,0.009432783,0.0052542007,0.0050108507,0.0020338357
10,0.010528329,0.008695337,0.010277915,0.008355332,0.012161436,0.01023379,0.009460407,0.0091548,0.009047429,0.009604862,0.009834877,0.010400134,0.010995071,0.0021740422,0.008444829,0.0023888713,0.0046350304,0.0027285598,0.010453135,0.002919102,0.009764362,0.009690487
11,0.0075309235,0.011451865,0.009828336,0.0025270137,0.007881371,0.0024546047,0.010540959,0.0107285855,0.0022141447,0.012089731,0.02256795,0.008464481,0.0022514726,0.002643745,0.010494041,0.004554834,0.011283237,0.0025732124,0.009384112,0.01001097,0.0024520436,0.0077607916
12,0.009536211,0.009491322,0.0096614435,0.008257761,0.010833524,0.009721593,0.0021857647,0.008986486,0.007951429,0.0081995325,0.002639036,0.0042823968,0.0025872425,0.004438138,0.0021967702,0.009424399,0.0115626,0.0048828945,0.00688927,0.008944664,0.010304181,0.0023000012
13,0.010157338,0.0089505175,0.010102682,0.008861958,0.011480692,0.009883831,0.009310294,0.008884337,0.008385067,0.0035774691,0.008312075,0.010070881,0.009893834,0.002265824,0.011992359,0.009237754,0.002748711,0.009082123,0.0103590265,0.004514693,0.0021347469,0.006520406
