,0,1
532,164,316
533,131,227
534,350,96
535,334,119
536,350,251
537,259,100
538,259,324
539,259,271
540,117,296
541,117,256
542,259,66
543,350,31
544,334,153
545,131,153
546,131,60
547,131,150
548,131,225
549,350,20
550,117,17
551,131,62
552,131,218
553,350,76
554,117,250
555,350,364
556,131,130
557,259,340
558,350,100
559,259,254
560,131,117
561,350,43
562,334,251
563,334,370
564,334,337
565,350,108
566,117,364
567,164,260
568,117,12
569,131,306
570,259,117
571,259,241
572,334,164
573,117,370
574,259,306
575,117,131
576,131,37
577,350,272
578,225,370
579,334,62
580,131,231
581,334,301
582,350,350
583,117,289
584,259,131
585,225,225
586,334,224
587,259,344
588,334,206
589,131,240
590,225,328
591,259,320
592,334,211
593,131,233
594,350,301
595,350,180
596,350,240
597,131,18
598,164,109
599,350,338
600,131,276
601,131,293
602,117,320
603,334,272
604,131,259
605,131,356
606,131,156
607,131,74
608,225,249
609,117,186
610,117,224
611,131,138
612,131,50
613,131,30
614,131,359
615,259,240
616,164,184
617,131,263
618,350,205
619,350,276
620,117,240
621,334,24
622,350,259
623,259,116
624,334,199
625,225,79
626,225,35
627,334,116
628,117,168
629,334,54
630,225,342
631,164,209
632,164,54
633,225,371
634,350,345
635,131,345
636,117,54
637,350,365
638,164,69
639,334,118
640,131,216
641,131,69
642,334,180
643,164,118
644,117,180
645,225,134
646,225,32
647,117,136
648,164,249
649,225,367
650,259,263
651,225,243
652,117,65
653,350,243
654,334,348
655,334,65
656,117,265
657,164,367
658,225,366
659,131,139
660,225,38
661,225,321
662,334,354
663,350,54
664,225,173
665,259,371
666,164,139
667,334,259
668,225,286
669,225,52
670,131,255
671,334,79
672,259,300
673,225,219
674,259,367
675,350,47
676,259,354
677,164,32
678,225,297
679,131,308
680,334,249
681,164,34
682,259,121
683,350,147
684,131,28
685,334,138
686,117,47
687,117,14
688,117,318
689,117,354
690,334,84
691,334,13
692,117,98
693,164,48
694,225,138
695,117,330
696,164,14
697,164,114
698,259,178
699,350,367
700,225,313
701,259,86
702,164,286
703,259,275
704,164,64
705,131,68
706,334,32
707,117,205
708,117,84
709,164,80
710,117,48
711,259,303
712,334,121
713,117,55
714,164,167
715,334,222
716,131,286
717,164,182
718,350,41
719,117,138
720,334,197
721,225,107
722,225,150
723,131,163
724,259,262
725,117,147
726,350,190
727,259,1
728,131,341
729,117,222
730,225,188
731,259,105
732,164,347
733,117,64
734,117,145
735,164,6
736,350,317
737,334,321
738,164,313
739,131,99
740,259,321
741,225,100
742,259,28
743,225,287
744,334,315
745,259,314
746,164,339
747,117,331
748,164,197
749,225,215
750,164,126
751,225,53
752,164,190
753,164,86
754,131,280
755,225,193
756,259,236
757,334,297
758,164,112
759,334,55
760,350,323
761,225,174
762,259,267
763,334,34
764,350,267
765,225,264
766,259,114
767,164,135
768,259,39
769,225,155
770,334,208
771,225,179
772,225,162
773,117,103
774,225,126
775,259,61
776,334,267
777,225,177
778,117,197
779,164,33
